courseId,schoolYearId,teacherId1,teacherId2,teacherId3,Grade,Section,CourseName
59,6,11,,,2,A,ថ្នាក់ ទី​ 2A ព្រឹក
60,6,11,,,2,A,ថ្នាក់ ទី​ 2A ល្ងាច
61,6,9,,,3,A,ថ្នាក់ ទី​ 3A ព្រឹក
62,6,9,,,3,A,ថ្នាក់ ទី​ 3A ល្ងាច
63,6,12,,,4,A,ថ្នាក់ ទី​ 4A ព្រឹក
64,6,12,,,4,A,ថ្នាក់ ទី​ 4A ល្ងាច
65,6,7,,,5,A,ថ្នាក់ ទី​ 5A ព្រឹក
66,6,7,,,5,A,ថ្នាក់ ទី​ 5A ល្ងាច
67,6,10,,,6,A,ថ្នាក់ ទី​ 6A ព្រឹក
68,6,10,,,6,A,ថ្នាក់ ទី​ 6A ល្ងាច
69,6,8,,,7,A,ថ្នាក់ ទី​ 7A ព្រឹក
70,6,8,,,7,A,ថ្នាក់ ទី​ 7A ល្ងាច
71,7,13,,,1,A,ថ្នាក់ ទី​ 1A ព្រឹក
72,7,13,,,1,A,ថ្នាក់ ទី​ 1A ល្ងាច
73,7,16,,,2,A,ថ្នាក់ ទី​ 2A ព្រឹក
74,7,16,,,2,A,ថ្នាក់ ទី​ 2A ល្ងាច
75,7,18,,,3,A,ថ្នាក់ ទី​ 3A ព្រឹក
76,7,18,,,3,A,ថ្នាក់ ទី​ 3A ល្ងាច
77,7,12,,,4,A,ថ្នាក់ ទី​ 4A ព្រឹក
78,7,12,,,4,A,ថ្នាក់ ទី​ 4A ល្ងាច
79,7,11,,,5,A,ថ្នាក់ ទី​ 5A ព្រឹក
80,7,11,,,5,A,ថ្នាក់ ទី​ 5A ល្ងាច
81,7,10,,,6,A,ថ្នាក់ ទី​ 6A ព្រឹក
82,7,10,,,6,A,ថ្នាក់ ទី​ 6A ល្ងាច
83,7,8,,,7,A,ថ្នាក់ ទី​ 7A ព្រឹក
84,7,8,,,7,A,ថ្នាក់ ទី​ 7A ល្ងាច
85,7,17,,,8,A,ថ្នាក់ ទី​ 8A ព្រឹក
86,7,17,,,8,A,ថ្នាក់ ទី​ 8A ល្ងាច
87,8,13,,,1,A,ថ្នាក់ ទី​ 1A ព្រឹក
88,8,13,,,1,A,ថ្នាក់ ទី​ 1A ល្ងាច
89,8,16,,,2,A,ថ្នាក់ ទី​ 2A ព្រឹក
90,8,16,,,2,A,ថ្នាក់ ទី​ 2A ល្ងាច
91,8,18,,,3,A,ថ្នាក់ ទី​ 3A ព្រឹក
92,8,18,,,3,A,ថ្នាក់ ទី​ 3A ល្ងាច
93,8,12,,,4,A,ថ្នាក់ ទី​ 4A ព្រឹក
94,8,12,,,4,A,ថ្នាក់ ទី​ 4A ល្ងាច
95,8,11,,,5,A,ថ្នាក់ ទី​ 5A ព្រឹក
96,8,11,,,5,A,ថ្នាក់ ទី​ 5A ល្ងាច
97,8,20,,,6,A,ថ្នាក់ ទី​ 6A ព្រឹក
